13,155,0,29,29,4805.8,0.460507703,タイトルの文字数,ブックマーク数,標本,タイトルの文字数（標本内平均）,ブックマーク数（標本内平均）
19,748,30,59,24.33333333,383.1333333,0.212067345,13,155,1,29,4805.8
7,1,60,89,24.36666667,1024.566667,0.787932655,19,748,2,24.33333333,383.1333333
25,68,90,119,23.4,556.0666667,0.015758653,7,1,3,24.36666667,1024.566667
5,117170,120,149,22.96666667,1473.9,0.125533474,25,68,4,23.4,556.0666667
53,15137,150,179,24.76666667,638.1333333,3.668405631,5,117170,5,22.96666667,1473.9
36,5,180,209,19.33333333,1593.666667,,53,15137,6,24.76666667,638.1333333
25,246,210,239,28.16666667,189.5333333,,36,5,7,19.33333333,1593.666667
23,3,240,269,20.36666667,19.63333333,,25,246,8,28.16666667,189.5333333
47,39,270,299,21.73333333,38.26666667,,23,3,9,20.36666667,19.63333333
17,8,300,329,17.96666667,52.4,,47,39,10,21.73333333,38.26666667
24,42,330,359,21.9,519.9666667,,,,,,
22,611,360,389,17.96666667,125.1333333,,,,,,
8,36,390,419,23.63333333,432.7,,,,,,
42,67,420,449,26.83333333,1292.266667,,,,,,
36,4,450,479,20.7,247.7666667,,,,,,
60,14,480,509,23.86666667,123.3333333,,,,,,
15,22,510,539,18,115.3,,,,,,
29,6986,540,569,20.8,46.3,,,,,,
99,22,570,599,20.7,220.3333333,,,,,,
55,358,600,629,27.56666667,922.2666667,,,,,,
49,8,630,659,22.96666667,78.2,,,,,,
9,7,660,689,23.73333333,392.8666667,,,,,,
12,28,690,719,25,289.2666667,,,,,,
8,19,720,749,20.56666667,111.8666667,,,,,,
8,396,750,779,17.53333333,238.3666667,,,,,,
20,744,780,809,24.5,257.9,,,,,,
47,1152,810,839,22.76666667,24.63333333,,,,,,
35,77,840,869,15.36666667,59.3,,,,,,
22,1,870,899,26.43333333,418.8666667,,,,,,
7,200,900,929,24.36666667,805.5333333,,,,,,
14,4324,930,959,17.93333333,28.96666667,,,,,,
9,5,960,989,21.66666667,306.6333333,,,,,,
17,9,990,1019,18.9,124.6666667,,,,,,
17,682,1020,1049,19.13333333,186.8,,,,,,
16,13,1050,1079,19.66666667,117.4666667,,,,,,
33,382,1080,1109,18.46666667,73.6,,,,,,
20,8,1110,1139,22.8,64.93333333,,,,,,
21,2,1140,1169,21.56666667,56.86666667,,,,,,
29,146,1170,1199,18.06666667,89.63333333,,,,,,
18,1,1200,1229,27.26666667,51.63333333,,,,,,
73,139,1230,1259,17.93333333,228.8,,,,,,
27,319,1260,1289,21.9,132.9333333,,,,,,
36,18,1290,1319,17.73333333,468.2333333,,,,,,
38,9,1320,1349,17.43333333,33.03333333,,,,,,
9,15,1350,1379,18.9,81.9,,,,,,
12,17,1380,1409,16.83333333,240.0333333,,,,,,
91,827,1410,1439,23.36666667,1587.4,,,,,,
9,10,1440,1469,18.5,89.06666667,,,,,,
20,2,1470,1499,20,266.9666667,,,,,,
4,1,,,,,,,,,,
8,55,,,,,,,,,,
14,151,,,,,,,,,,
20,16,,,,,,,,,,
32,17,,,,,,,,,,
8,42,,,,,,,,,,
9,6,,,,,,,,,,
10,76,,,,,,,,,,
99,3966,,,,,,,,,,
10,36,,,,,,,,,,
41,3871,,,,,,,,,,
12,27,,,,,,,,,,
19,16,,,,,,,,,,
7,24,,,,,,,,,,
23,89,,,,,,,,,,
29,12,,,,,,,,,,
6,2,,,,,,,,,,
7,4,,,,,,,,,,
29,2477,,,,,,,,,,
18,46,,,,,,,,,,
7,596,,,,,,,,,,
16,8,,,,,,,,,,
43,1593,,,,,,,,,,
13,4,,,,,,,,,,
24,117,,,,,,,,,,
5,5,,,,,,,,,,
5,1,,,,,,,,,,
22,1,,,,,,,,,,
13,16653,,,,,,,,,,
28,1935,,,,,,,,,,
32,3,,,,,,,,,,
10,1,,,,,,,,,,
7,1,,,,,,,,,,
6,386,,,,,,,,,,
23,2413,,,,,,,,,,
78,130,,,,,,,,,,
58,171,,,,,,,,,,
39,137,,,,,,,,,,
94,1,,,,,,,,,,
17,13,,,,,,,,,,
16,17,,,,,,,,,,
42,9501,,,,,,,,,,
6,1,,,,,,,,,,
53,18,,,,,,,,,,
9,4,,,,,,,,,,
50,577,,,,,,,,,,
21,17,,,,,,,,,,
25,16,,,,,,,,,,
7,58,,,,,,,,,,
7,2,,,,,,,,,,
28,61,,,,,,,,,,
20,2,,,,,,,,,,
10,17,,,,,,,,,,
9,1,,,,,,,,,,
6,7,,,,,,,,,,
40,41,,,,,,,,,,
15,378,,,,,,,,,,
30,12,,,,,,,,,,
9,4,,,,,,,,,,
66,11,,,,,,,,,,
7,31,,,,,,,,,,
42,162,,,,,,,,,,
2,2,,,,,,,,,,
17,2088,,,,,,,,,,
38,97,,,,,,,,,,
6,3520,,,,,,,,,,
58,5,,,,,,,,,,
30,29,,,,,,,,,,
25,1,,,,,,,,,,
8,2,,,,,,,,,,
18,1,,,,,,,,,,
18,1,,,,,,,,,,
21,448,,,,,,,,,,
10,7,,,,,,,,,,
14,59,,,,,,,,,,
19,1,,,,,,,,,,
19,6,,,,,,,,,,
7,2,,,,,,,,,,
15,140,,,,,,,,,,
39,1,,,,,,,,,,
18,7,,,,,,,,,,
4,2,,,,,,,,,,
11,1,,,,,,,,,,
2,1,,,,,,,,,,
59,27,,,,,,,,,,
41,1,,,,,,,,,,
